idProducto,idVendedor,fecha,idSucursal,descuento
6,95,19/02/2022,30,0
52,97,18/11/2022,10,26
16,40,14/01/2021,4,5
58,87,16/04/2021,28,15
12,58,15/05/2022,5,5
57,34,05/10/2021,21,5
77,14,11/01/2022,30,1
32,35,13/12/2021,16,0
2,34,08/08/2022,17,54
53,77,13/10/2022,4,0
24,36,18/01/2022,23,59
84,53,16/04/2022,26,21
85,47,07/12/2021,27,0
36,67,19/10/2021,25,14
34,58,02/12/2022,12,50
50,90,12/05/2022,3,12
34,36,11/04/2022,24,20
41,90,12/07/2021,6,0
59,22,31/01/2021,2,0
98,94,02/09/2021,12,27
32,50,23/08/2022,8,19
68,68,26/03/2022,5,0
66,1,26/06/2022,30,20
93,100,28/04/2021,13,0
81,11,10/01/2022,4,50
74,45,24/12/2022,23,0
81,29,07/09/2022,1,92
77,5,20/12/2021,20,0
35,27,15/10/2021,22,0
96,98,12/06/2022,28,0
17,50,25/12/2022,3,25
68,94,04/12/2022,28,16
72,7,10/04/2022,15,0
13,64,19/03/2021,30,7
99,29,20/08/2022,7,83
72,46,01/03/2021,3,50
17,41,17/12/2021,22,26
12,24,21/07/2021,2,3
91,18,21/11/2022,29,15
47,47,02/08/2022,10,95
21,83,13/02/2022,6,15
72,29,14/06/2021,29,14
7,98,03/05/2021,7,16
58,67,07/02/2021,9,50
66,9,12/07/2021,1,15
96,17,31/01/2021,3,0
3,82,01/01/2022,1,4
17,98,09/08/2021,25,12
95,65,19/10/2022,29,17
96,21,08/03/2022,3,0
47,54,06/12/2022,10,0
28,4,11/01/2021,1,3
100,7,09/11/2021,28,17
91,16,10/08/2022,18,9
94,61,15/03/2022,22,0
41,10,09/03/2022,6,0
74,78,09/02/2022,26,0
38,18,07/01/2021,16,12
39,95,24/02/2021,6,0
3,64,06/04/2021,25,84
77,50,04/08/2022,22,6
59,64,20/03/2021,11,7
18,56,20/10/2021,6,0
23,27,06/12/2022,18,0
23,3,12/10/2022,14,16
44,78,01/07/2022,24,0
65,82,01/12/2021,3,28
30,35,26/05/2022,15,50
38,30,02/01/2022,13,6
3,63,25/09/2022,25,62
45,23,29/05/2021,26,50
57,9,24/09/2022,25,16
63,28,30/03/2022,1,81
93,94,12/02/2021,9,0
32,13,19/04/2022,1,0
86,31,14/03/2021,13,4
42,24,21/01/2022,6,0
51,29,03/03/2021,12,18
57,47,26/05/2022,24,99
99,72,03/12/2021,8,16
2,52,25/02/2021,13,0
90,87,02/06/2022,10,77
45,69,23/09/2022,6,0
54,29,09/02/2022,7,0
20,30,30/10/2021,1,50
73,46,29/06/2021,15,74
99,66,16/12/2022,1,16
69,84,19/08/2021,12,0
85,78,02/05/2022,8,0
18,85,27/11/2022,15,0
65,7,03/07/2022,23,23
43,22,04/02/2021,2,75
4,94,04/07/2021,25,20
25,81,28/04/2021,4,50
8,95,16/01/2021,8,0
93,72,10/06/2022,10,52
71,86,20/03/2021,5,17
45,20,28/12/2022,12,0
22,38,05/03/2022,28,24
11,2,24/03/2022,12,0
95,83,14/06/2022,11,1
90,91,28/12/2021,15,50
45,94,13/03/2021,23,52
75,60,29/05/2021,3,0
91,72,11/03/2021,22,87
99,29,04/10/2021,12,13
61,5,20/06/2022,25,21
64,46,06/01/2021,9,18
37,41,11/11/2021,12,84
86,75,13/05/2022,16,50
4,67,07/09/2022,22,0
74,98,03/08/2021,7,15
28,21,23/04/2021,7,0
61,62,28/08/2021,2,0
83,8,02/08/2022,13,24
35,70,13/02/2021,2,19
89,90,28/12/2022,1,0
42,71,10/06/2021,7,0
81,98,04/08/2022,10,18
24,37,23/05/2021,26,50
95,80,04/11/2022,5,19
21,15,06/08/2022,13,0
60,1,14/08/2021,27,50
16,51,21/03/2021,6,0
27,53,08/12/2021,26,0
54,2,08/06/2021,8,17
8,31,01/05/2021,15,0
38,48,11/05/2021,12,0
29,95,18/04/2021,11,50
63,21,29/07/2022,30,23
62,38,26/07/2021,6,24
98,75,15/10/2021,28,0
66,68,22/07/2022,11,0
59,5,29/06/2022,3,0
62,31,18/11/2022,3,6
31,24,17/11/2022,12,50
8,82,27/04/2022,21,59
65,73,09/06/2021,24,19
58,35,20/03/2022,12,8
38,22,23/01/2022,7,0
11,96,19/12/2021,25,0
52,44,24/11/2021,17,0
69,22,26/03/2022,15,1
2,100,02/05/2021,22,50
69,76,15/07/2022,4,0
100,36,25/01/2022,12,50
53,35,10/11/2021,22,87
35,55,19/12/2021,9,0
9,71,30/07/2022,10,14
2,89,16/07/2022,20,28
16,73,16/06/2021,27,30
46,50,07/10/2022,26,11
42,3,15/03/2021,25,0
42,22,22/06/2022,11,50
57,2,18/06/2022,30,64
23,90,20/02/2022,28,84
46,92,04/02/2022,26,58
50,87,09/08/2022,22,10
61,65,15/04/2021,9,0
49,39,05/05/2022,7,50
25,83,04/07/2021,10,4
18,88,18/05/2021,9,54
48,41,10/11/2021,13,21
6,98,10/11/2021,8,0
21,73,13/05/2021,21,17
70,41,07/03/2021,2,11
27,64,12/07/2021,25,0
97,95,10/10/2021,10,0
41,8,04/04/2022,7,27
11,36,07/06/2022,6,0
32,32,30/11/2021,26,10
75,14,14/04/2022,8,23
56,44,13/03/2022,13,0
71,52,14/04/2022,24,0
32,94,20/01/2021,25,50
25,93,21/12/2022,27,8
92,40,06/10/2021,9,0
63,93,30/03/2021,5,11
13,5,22/07/2022,8,4
64,56,26/08/2022,18,29
20,9,23/03/2021,23,0
99,68,08/08/2022,5,85
34,73,11/12/2022,13,50
42,40,08/05/2021,9,0
72,10,20/03/2021,14,0
87,7,06/05/2021,6,0
76,74,20/01/2022,1,9
77,75,23/03/2022,23,16
90,62,12/09/2021,24,29
7,4,21/12/2021,4,12
13,4,02/04/2021,9,0
36,58,18/10/2022,13,30
22,46,14/11/2021,4,52
55,73,09/08/2021,11,0
12,92,14/08/2022,23,50
59,99,31/08/2022,12,0
76,69,13/04/2021,21,0
26,13,14/05/2021,7,0
9,27,16/01/2022,6,0
4,100,25/08/2022,28,58
90,89,09/06/2021,18,50
83,88,03/03/2021,14,50
66,95,16/07/2021,3,0
17,47,25/02/2021,24,50
44,66,07/11/2022,9,0
65,84,11/12/2021,12,86
22,36,01/02/2022,7,25
96,44,03/11/2021,10,5
33,73,03/03/2022,20,10
62,35,14/01/2022,14,25
10,33,07/10/2021,6,13
42,96,28/10/2022,2,22
40,81,18/11/2022,15,3
94,92,24/07/2021,7,11
2,60,27/09/2021,6,50
78,29,31/05/2022,22,0
27,92,13/07/2022,3,18
76,94,14/08/2021,16,2
98,21,23/02/2022,17,0
69,96,29/06/2022,11,26
46,9,14/02/2021,30,14
93,89,13/08/2022,22,0
96,48,24/04/2022,25,0
13,12,15/01/2022,8,0
35,93,17/04/2021,22,0
98,100,12/09/2021,3,12
65,44,08/03/2021,28,0
38,75,28/10/2022,9,0
11,81,23/08/2021,3,0
59,49,13/10/2022,9,27
19,20,21/07/2022,25,7
68,77,15/12/2021,26,24
69,22,14/06/2021,17,61
7,38,29/11/2021,26,0
38,73,25/05/2021,10,0
51,36,20/12/2022,17,0
78,24,07/12/2022,7,0
22,39,06/04/2021,4,97
100,32,31/12/2021,14,25
54,73,12/10/2021,23,0
80,59,12/10/2021,8,50
69,14,08/01/2022,12,0
36,77,03/11/2022,6,50
96,16,04/12/2022,27,50
36,47,29/12/2022,1,0
55,19,12/01/2022,23,0
4,86,09/12/2022,2,13
48,78,27/02/2021,7,0
82,11,25/02/2022,8,0
38,22,22/02/2021,26,82
98,2,09/10/2021,9,6
2,93,09/03/2021,2,5
34,17,10/07/2021,9,15
79,90,28/09/2021,18,0
24,61,12/02/2022,1,0
11,59,27/04/2022,23,0
58,17,22/12/2021,8,99
34,17,26/05/2021,28,10
31,49,22/05/2022,25,30
19,50,27/10/2022,22,27
69,93,13/02/2021,12,51
